Name,School/Town,Index (from RNG),Grade Level,Gender,Time Taken (Before),Time Before Cleaned,Music Genre,Time Taken (After),Time After Cleaned,Difference in Time,Link
Sarah Sato,Maeva,,5,Female,68.1 seconds,68.1,Control,63.1 seconds,63.1,-5,https://islands.smp.uq.edu.au/islander.php?id=med3fjx4qc
Alice Moore,Maeva,,4,Female,64.9 seconds,64.9,Control,60.8 seconds,60.8,-4.1,https://islands.smp.uq.edu.au/islander.php?id=vhmpce3a5n
Rina Sultana,Vaiku,,4,Female,75.8 seconds,75.8,Control,79.2 seconds,79.2,3.4,https://islands.smp.uq.edu.au/islander.php?id=wxb4gdqacg
Amie Hall,Eden,,6,Female,1.6 minutes,96,Control,1.5 minutes,90,-6,https://islands.smp.uq.edu.au/islander.php?id=4vrcc9vfly
Abbey Regan,Kinsale,,4,Female,59.2 seconds,59.2,Control,61.4 seconds,61.4,2.2,https://islands.smp.uq.edu.au/islander.php?id=254e2yagth
Megan Kimura,Riroura,,6,Female,1.9 minutes,114,Control,2.0 minutes,120,6,https://islands.smp.uq.edu.au/islander.php?id=em27678dta
Corinne Jones,Riroura,,5,Female,80.9 seconds,80.9,Control,78.5 seconds,78.5,-2.4,https://islands.smp.uq.edu.au/islander.php?id=99vcgbs57f
Charlotte McCarthy,Mahuti,,5,Female,53.7 seconds,53.7,Control,52.7 seconds,52.7,-1,https://islands.smp.uq.edu.au/islander.php?id=b8rgf4vrfa
Belle Kimura,Mahuti,,6,Female,50.2 seconds,50.2,Control,57.7 seconds,57.7,7.5,https://islands.smp.uq.edu.au/islander.php?id=jc8qqd7m6c
Vidya Chaudhuri,Talu,,4,Female,72.3 seconds,72.3,Control,80.4 seconds,80.4,8.1,https://islands.smp.uq.edu.au/islander.php?id=t4fqyhzyb9
Celine Sorensen,Colmar,,4,Female,49.9 seconds,49.9,Control,56.8 seconds,56.8,6.9,https://islands.smp.uq.edu.au/islander.php?id=3fcslxlght
Aurelie Hall,Colmar,,6,Female,54.4 seconds,54.4,Control,50.3 seconds,50.3,-4.1,https://islands.smp.uq.edu.au/islander.php?id=gly4prtj5k
