Name,School/Town,Index (from RNG),Grade Level,Gender,Time Taken (Before),Time Before Cleaned,Music Genre,Time Taken (After),Time After Cleaned,Difference in Time,Link
Samuel Singh,Colmar,,6,Male,1.7 minutes,102,Country,1.6 minutes,96,-6,https://islands.smp.uq.edu.au/islander.php?id=wh33m3a7vb
Reynard Sorensen,Colmar,,4,Male,81.1 seconds,81.1,Classical,68.2 seconds,68.2,-12.9,https://islands.smp.uq.edu.au/islander.php?id=n6xdm8gzdz
Jules Erickson,Colmar,,6,Male,58.6 seconds,58.6,Country,58.8 seconds,58.8,0.2,https://islands.smp.uq.edu.au/islander.php?id=298pevgnp6
Ketan Varadhan,Colmar,,4,Male,83.0 seconds,83,Classical,76.4 seconds,76.4,-6.6,https://islands.smp.uq.edu.au/islander.php?id=2weybet539
Zachary Joshi,Colmar,,6,Male,114 seconds,114,Classical,1.6 minutes,96,-18,https://islands.smp.uq.edu.au/islander.php?id=kv5jzwyxlw
Gustave Tamboli,Colmar,,4,Male,58.0 seconds,58,Classical,52.4 seconds,52.4,-5.6,https://islands.smp.uq.edu.au/islander.php?id=pl992cfnwj
Remy Jackson,Colmar,,6,Male,80.3 seconds,80.3,Country,70.7 seconds,70.7,-9.6,https://islands.smp.uq.edu.au/islander.php?id=tnj8u399kd
Percy Eklund,Eden,,4,Male,1.5 minutes,90,Classical,82.6 seconds,82.6,-7.4,https://islands.smp.uq.edu.au/islander.php?id=ypjsqlblu2
Selvan Patel,Eden,,4,Male,76.2 seconds,76.2,Country,59.4 seconds,59.4,-16.8,https://islands.smp.uq.edu.au/islander.php?id=c43kbuvgbb
Emile Sorensen,Eden,,6,Male,114 seconds,114,Heavy Metal,2.2 minutes,132,18,https://islands.smp.uq.edu.au/islander.php?id=tnhb3pgg27
Marshall Lund,Mahuti,,4,Male,86.2 seconds,86.2,Country,84.6 seconds,84.6,-1.6,https://islands.smp.uq.edu.au/islander.php?id=p28kqkqxqt
Aadiv Mehta,Mahuti,,4,Male,70.3 seconds,70.3,Heavy Metal,80.5 seconds,80.5,10.2,https://islands.smp.uq.edu.au/islander.php?id=fxv49w39a5
Blaise Kumar,Mahuti,,4,Male,79.9 seconds,79.9,Heavy Metal,1.6 minutes,96,16.1,https://islands.smp.uq.edu.au/islander.php?id=k4eh88266q
Xavier Kimura,Mahuti,,4,Male,67.2 seconds,67.2,Country,65.1 seconds,65.1,-2.1,https://islands.smp.uq.edu.au/islander.php?id=zs6ndfw2ba
Aadesh Puri,Mahuti,,5,Male,52.6 seconds,52.6,Heavy Metal,62.2 seconds,62.2,9.6,https://islands.smp.uq.edu.au/islander.php?id=bf47zk7akp
Inesh Asan,Mahuti,,4,Male,1.5 minutes,90,Heavy Metal,1.8 minutes,108,18,https://islands.smp.uq.edu.au/islander.php?id=eaadu4bmpk
Anand Khan,Mahuti,,4,Male,66.5 seconds,66.5,Classical,60.9 seconds,60.9,-5.6,https://islands.smp.uq.edu.au/islander.php?id=4ndrzcs6yc
Percival Sato,Mahuti,,6,Male,71.0 seconds,71,Heavy Metal,1.5 minutes,90,19,https://islands.smp.uq.edu.au/islander.php?id=tvt4ur28md
Minh Herbert,Vaiku,,4,Male,87.7 seconds,87.7,Heavy Metal,1.7 minutes,102,14.3,https://islands.smp.uq.edu.au/islander.php?id=muyq7bbtck
Daiki McCarthy,Vaiku,,5,Male,68.7 seconds,68.7,Country,65.0 seconds,65,-3.7,https://islands.smp.uq.edu.au/islander.php?id=3s4lwzh8mj
Lucas Morris,Kinsale,,5,Male,1.5 minutes,90,Heavy Metal,1.8 minutes,108,18,https://islands.smp.uq.edu.au/islander.php?id=empj8qasm8
Percy Dupont,Valais,,4,Male,114 seconds,114,Classical,1.7 minutes,102,-12,https://islands.smp.uq.edu.au/islander.php?id=w6xpl5p33c
Harold Solberg,Pauma,,5,Male,77.2 seconds,77.2,Heavy Metal,1.7 minutes,102,24.8,https://islands.smp.uq.edu.au/islander.php?id=ptlxktr62y
Kamal Maharaj,Pauma,,5,Male,1.5 minutes,90,Classical,80.8 seconds,80.8,-9.2,https://islands.smp.uq.edu.au/islander.php?id=hp7jubyucb
Ishrat Kumar,Talu,,5,Male,73.0 seconds,73,Country,71.0 seconds,71,-2,https://islands.smp.uq.edu.au/islander.php?id=z8u5qzsazv
Aadesh Chaudhuri,Nidoma,,4,Male,1.8 minutes,108,Control,1.8 minutes,108,0,https://islands.smp.uq.edu.au/islander.php?id=acs2htrmrb
Baldev Patel,Riroua,,6,Male,51.1 seconds,51.1,Control,58.9 seconds,58.9,7.8,https://islands.smp.uq.edu.au/islander.php?id=fqn2tzst9j
Alexis Thorn,Maeva,,5,Male,1.5 minutes,90,Control,86.9 seconds,86.9,-3.1,https://islands.smp.uq.edu.au/islander.php?id=ygx6luct57
Mahir Chaudhuri,Colmar,,4,Male,1.7 minutes,102,Control,1.7 minutes,102,0,https://islands.smp.uq.edu.au/islander.php?id=2p47kb9eg2
Pavak Pillai,Colmar,,5,Male,69.1 seconds,69.1,Control,73.6 seconds,73.6,4.5,https://islands.smp.uq.edu.au/islander.php?id=ptwnqvwynt
Antoinette Joubert,Colmar,,6,Male,71.3 seconds,71.3,Control,68.8 seconds,68.8,-2.5,https://islands.smp.uq.edu.au/islander.php?id=bs7m852mug
Jagan Mangal,Colmar,,4,Male,75.4 seconds,75.4,Control,78.9 seconds,78.9,3.5,https://islands.smp.uq.edu.au/islander.php?id=76vx4mhb2x
Olson Eklund,Eden,,5,Male,1.9 minutes,114,Control,2.0 minutes,120,6,https://islands.smp.uq.edu.au/islander.php?id=actx98jeaj
Toshan Sultana,Mahuti,,6,Male,53.5 seconds,53.5,Control,51.0 seconds,51,-2.5,https://islands.smp.uq.edu.au/islander.php?id=eudvpnjvwp
Nihal Tiwari,Mahuti,,4,Male,1.7 minutes,102,Control,1.6 minutes,96,-6,https://islands.smp.uq.edu.au/islander.php?id=8lu6l9kdde
Bhajan Pillai,Vaiku,,5,Male,62.7 seconds,62.7,Control,68.8 seconds,68.8,6.1,https://islands.smp.uq.edu.au/islander.php?id=hwhbmejlxh
Reynard Agarwal,Pauma,,6,Male,65.1 seconds,65.1,Control,73.6 seconds,73.6,8.5,https://islands.smp.uq.edu.au/islander.php?id=m75489ww6k
